Code;Name;CountryISO;ISIN;CCY;Sector;Industry;GicSector;GicGroup;GicIndustry;GicSubIndustry;HQ;FullTimeEmployees;WebURL;UpdateDate;ActiveFlag
SANN SW;Santhera Pharmaceuticals Holding AG;CH;CH0027148649;CHF;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;Switzerland;45;https://www.santhera.com;20.09.2023;1
SAP F;SAP SE;DE;DE0007164600;EUR;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;Germany;105328;https://www.sap.com;19.09.2023;1
SRPT US;Sarepta Therapeutics Inc;US;US8036071004;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;1162;https://www.sarepta.com;18.09.2023;1
SRT3 XETRA;Sartorius Aktiengesellschaft;DE;DE0007165631;EUR;Healthcare;Medical Instruments & Supplies;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;Germany;15048;https://www.sartorius.com;19.10.2023;1
SRT F;Sartorius Aktiengesellschaft;DE;DE0007165607;EUR;Healthcare;Medical Instruments & Supplies;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;Germany;15048;https://www.sartorius.com;19.09.2023;1
DIM PA;Sartorius Stedim Biotech SA;FR;FR0013154002;EUR;Healthcare;Medical Instruments & Supplies;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;France;11135;https://www.sartorius.com;18.10.2023;1
SATL US;Satellogic V Inc;US;VGG7823S1011;USD;Industrials;Aerospace & Defense;Industrials;Capital Goods;Machinery;Industrial Machinery & Supplies & Components;United States;382;https://www.satellogic.com;17.09.2023;1
BFS US;Saul Centers Inc;US;US8043951016;USD;Real Estate;REIT-Retail;Real Estate;Equity Real Estate Investment Trusts (REITs);Diversified REITs;Retail REITs;United States;129;https://www.saulcenters.com;18.09.2023;1
SVRA US;Savara Inc;US;US8051111016;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;28;https://www.savarapharma.com;19.09.2023;1
SVFD US;Save Foods Inc;US;US80512Q3039;USD;Basic Materials;Agricultural Inputs;Materials;Materials;Metals & Mining;Diversified Metals & Mining;United States;6;https://www.savefoods.co;17.09.2023;1
